,precision,recall,f1-score,support
0,0.9017857142857143,0.9901960784313726,0.9439252336448598,102.0
1,0.7933884297520661,0.9411764705882353,0.8609865470852018,102.0
2,0.958904109589041,0.6862745098039216,0.8,102.0
accuracy,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.8725490196078431
macro avg,0.8846927512089405,0.8725490196078431,0.8683039269100205,306.0
weighted avg,0.8846927512089404,0.8725490196078431,0.8683039269100206,306.0
